Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BELEM;49677;19864.000033/2012-60;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;11322001000179 - INOVE COMÉRCIO DE VIDROS E SERVIÇOS LTDA - EPP; SERVIÇO DE RECUPERAÇÃO DO REFEITÓRIO, COPA DO REFEITÓRIO, COPA DO CAFÉ, LANCHONETE, COZINHA DA LANCHONETE E DA RECEPÇÃO.;28/09/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/10/2012;01/10/2012;28/01/2013;188250,00
BRASILIA;49671;12014.000084/2012-53;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;03698870000174 - EMERSON NETWORKPOWER DO BRASIL LTDA;AQUISIÇÃO E INSTALAÇÃO DE NO-BREAKS.;21/09/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;05/10/2012;21/09/2012;20/03/2013;1384424,77
BRASILIA;49679;12014.000072/2009-23;ADITIVOS;05056633000135 - Omniware Soluções Ltda - ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;01/10/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/10/2012;21/12/2012;20/12/2013;1393,92
BRASILIA;49681;12014.000112/2007-75;ADITIVOS;00706148000146 - Brasilmed Auditoria Médica e Serviços S/C;REPACTUAR O VALOR DO CONTRATO.;28/09/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;05/10/2012;28/09/2012;08/11/2012;1826,95
BRASILIA;49687;12014.000070/2009-34;OUTROS INSTRUMENTOS;00636712000100 - União Serviços Gerais Ltda;ENCERRAR O CONTRATO.;;ART. 78, C/C ART. 79, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/10/2012;30/09/2012;30/09/2012;0,00
SALVADOR;49675;19867.000020/2011-80;ADITIVOS;02081574000167 - BRAVA SEGURANÇA E VIGILÂNCIA PATRIMONIAL LTDA;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;05/10/2012;27/09/2012;31/05/2013;17648,10
SALVADOR;49676;19867.000053/2008-24;ADITIVOS;01650008000166 - SAÚDE TOTAL SERVIÇOS EM ATIVIDADES FÍSICAS E NUTRIÇÕES LTDA ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;05/10/2012;03/11/2012;02/11/2013;20895,84
BRASILIA;49688;12014.000070/2009-34;DISPENSA DE LICITAÇÃO;01708458000162 - VISÃO ADMINISTRAÇÃO E CONSTRUÇÃO LTDA;SERVIÇOS DE LIMPEZA E CONSERVAÇÃO PREDIAL.;01/10/2012;ART. 24, INCISO XI, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/10/2012;01/10/2012;03/01/2013;654527,67
BRASILIA SEDE;49692;70387.000017/2010-35;ADITIVOS;04164616000159 - TNL PCS S/A;DISTRATO AO CONTRATO DE RG/N°45.043.;05/10/2012;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/10/2012;05/10/2012;05/10/2012;0,00
SALVADOR;49684;19867.000056/2010-82;ADITIVOS;13491709000189 - MAC Engenharia e Instalações Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/10/2012;15/10/2012;14/10/2013;69300,00
SALVADOR;49690;19867.000054/2012-55;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;13491709000189 - MAC Engenharia e Instalações Ltda;INSTALAÇÃO DE CENTRAIS DE ÁGUA GELADA.;02/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;08/10/2012;26/09/2012;24/12/2012;254000,00
BRASILIA;49694;12014.000052/2012-58;ADITIVOS;32901779000102 - NILTON CORREIA ADVOGADOS ASSOCIADOS;SUPRESSÃO DO VALOR INICIAL DO CONTRATO.;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";09/10/2012;01/10/2012;13/08/2013;50372,13
BRASILIA;49695;12014.000097/2012-22;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;04401412000194 - LIGHTING ENGENHARIA E COMÉRCIO LTDA - EPP;AQUISIÇÃO E INSTALAÇÃO DE TRANSFORMADOR DE ENERGIA 1000 KVA À SECO.;04/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;09/10/2012;04/10/2012;03/01/2013;53383,00
BRASILIA SEDE;49698;19863.000160/2012-79;DISPENSA DE LICITAÇÃO;00038174000143 - Fundação Universidade de Brasília;CURSO DE PÓS-GRADUAÇÃO LATO SENSU - ESPECIALIZAÇÃO EM GESTÃO PÚBLICA.;28/09/2012;ART. 24, INCISO XIII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/10/2012;28/09/2012;27/09/2015;1515939,53
RIO DE JANEIRO HORTO;49697;12023.000176/2012-24;ADITIVOS;03160875000149 - ALAMANDA PAISAGISMO E MEIO ANBIENTE LTDA;RETIFICAR VALOR DO CONTRATO ORIGINAL.;24/09/2012;ART. 54, § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/10/2012;24/09/2012;31/07/2013;54553,95
CURITIBA;49700;19870.000058/2012-84;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;05912569000147 - OLIVIO & PIETROBELI LTDA;SERVIÇO DE OPERAÇÃO DE MESA TELEFÔNICA, COM FORNECIMENTO DE MÃO DE OBRA.;01/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005 C/C ART.48, INCISO I DA LC 123/2006.;10/10/2012;03/10/2012;02/10/2013;38204,00
FORTALEZA;49701;19865.000038/2008-04;ADITIVOS;04894089000138 - EMT - Empresa de Mão de Obra Terceirizada Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;27/09/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/10/2012;01/10/2012;30/09/2013;556789,32
FORTALEZA;49702;19865.000031/2009-65;ADITIVOS;05791406000153 - E M Elevadores Comércio e Serviços LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/10/2012;07/10/2012;06/10/2013;3745,92
BRASILIA;49725;12014.000099/2012-11;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;05602089000180 - Big Pisos- Pisos e Revestimentos Ltda;AQUISIÇÃO E INSTALAÇÃO DE CARPETE.;01/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005 C/C ART.48, INCISO I DA LC 123/2006.;15/10/2012;01/10/2012;30/11/2012;26755,52
BRASILIA SEDE;49724;19863.000154/2009-16;ADITIVOS;03341541000171 - RTM - REDE DE TELECOMUNICAÇÕES  PARA O MERCADO LTDA.;DISTRATO AO CONTRATO DE RG/N°43.866.;19/09/2012;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;15/10/2012;19/09/2012;19/09/2012;0,00
BRASILIA SEDE;49726;19863.000092/2010-86;ADITIVOS;90400888000142 - BANCO SANTANDER (BRASIL) S.A.;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;14/09/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;15/10/2012;16/09/2012;15/09/2013;64320,00
BELEM;49727;19864.000038/2012-92;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;08057864000151 - B G SERVICE LTDA-ME;SERVIÇO DE RECUPERAÇÃO E AMPLIAÇÃO DE BANHEIRO E VESTIÁRIO.;08/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/10/2012;15/10/2012;11/02/2013;127899,00
RIO DE JANEIRO HORTO;49728;12023.000177/2012-79;ADITIVOS;05504343000107 - APEC AVALIAÇOES E PERÍCIAS DE ENGENHARIA CIVIL S/C LTDA.;PRORROGAR PRAZO DE EXECUÇÃO E VIGÊNCIA DO CONTRATO.;08/10/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/10/2012;02/12/2012;31/12/2012;0,00
FORTALEZA;49734;19865.000029/2011-19;ADITIVOS;04368344000109 - RICOPIA COMÉRCIO E SERVIÇOS LTDA;PRORROGAR VIGÊNCIA DO CONTRATO E REDUZIR FRANQUIA CONTRATADA.;27/09/2012;ART. 57, INCISO IV, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;17/10/2012;03/10/2012;02/10/2013;6750,00
RIO DE JANEIRO ANDARAÍ;49735;12023.000213/2012-02;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;13453359000166 - INA Comercial Ltda. EPP;AQUISIÇÃO DE PASTILHA CERÂMICA VITRIFICADA.;08/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;18/10/2012;22/10/2012;19/01/2013;117990,80
BRASILIA;49739;12014.000101/2012-52;PREGÃO PRESENCIAL;07675984000150 - COMANDO FORMAÇÃO DE BOMBEIROS PARTICULARES;SERVIÇOS DE SEGURANÇA CONTRA INCÊNDIO.;15/10/2012;LEI 10.520/2002 E DECRETO 3.555/2000, COM AS ALTERAÇÕES INTRODUZIDAS PELOS DECRETOS 3.693/2000 E 3.784/2001.;19/10/2012;15/10/2012;14/10/2013;639283,59
BRASILIA SEDE;49738;19863.000175/2012-37;INEXIGIBILIDADE SEM PROCESSO DECISÓRIO;42356782000146 - EBSCO BRASIL LTDA;ACESSO À BASE DE DADOS CIENTÍFICA IEEE ENTERPRISE.;17/10/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;19/10/2012;17/10/2012;16/10/2013;13038,09
RIO DE JANEIRO HORTO;49736;70387.000045/2009-19;ADITIVOS;67071001000360 - SIEMENS ENTERPRISE COMMUNICATIONS - TECNOLOGIA DA INFORMACAO E COMUNICACOES CORP;SUPRESSÃO DE SERVIÇOS.;01/10/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";19/10/2012;01/10/2012;09/02/2013;1148,85
RIO DE JANEIRO HORTO;49737;70387.000045/2009-19;ADITIVOS;67071001000360 - SIEMENS ENTERPRISE COMMUNICATIONS - TECNOLOGIA DA INFORMACAO E COMUNICACOES CORP;SUPRESSÃO DE SERVIÇOS.;10/10/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";22/10/2012;01/11/2012;09/02/2013;37649,88
BRASILIA;49762;12014.000152/2011-01;ADITIVOS;08531933000117 - ABC SERVIÇOS GERAIS LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;18/10/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;26/10/2012;16/11/2012;15/11/2013;87905,00
RECIFE;49764;19866.000043/2007-18;ADITIVOS;02726118000127 - SERV CAF LTDA.;REPACTUAR O VALOR DO CONTRATO.;11/10/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;26/10/2012;11/10/2012;18/03/2013;5535,65
SAO PAULO;49768;12032.000184/2012-61;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;03541616000168 - Ductbusters Engenharia Limitada;FORNECIMENTO E INSTALAÇÃO DO SISTEMA DE AR CONDICIONADO.;15/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;26/10/2012;15/10/2012;03/05/2013;284999,00
RECIFE;49770;19866.000040/2008-65;ADITIVOS;05877704000160 - ESTAÇÃO SERVIÇOS DE MASSAGEM LTDA-ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/10/2012;15/10/2012;14/10/2013;20279,00
RECIFE;49775;19866.000085/2011-35;ADITIVOS;09540692000135 - BETA BRASIL SERVIÇOS DE CONSERVAÇÃO E LIMPEZA LTDA EPP;REPACTUAR O VALOR DO CONTRATO.;15/10/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;29/10/2012;15/10/2012;11/12/2012;44140,27
RIO DE JANEIRO HORTO;49767;12023.000036/2011-75;ADITIVOS;00674347000110 - Nutrifit Assessoria e Consultoria em Saúde Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;22/10/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/10/2012;01/11/2012;31/10/2013;267667,80
SAO PAULO;49769;12032.000377/2011-31;ADITIVOS;00706148000146 - Brasilmed Auditoria Médica e Serviços S/C;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/10/2012;01/11/2012;31/10/2013;549975,00
BELEM;49773;19864.000024/2008-92;ADITIVOS;06088979000188 - ATIVUS SPORT INDÚSTRIA COMÉRCIO E SERVIÇOS LTDA-ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;30/10/2012;20/10/2012;19/10/2013;25571,88
BELEM;49783;19864.000016/2011-41;OUTROS INSTRUMENTOS;04436855000110 - PRATA COMÉRCIO E SERVIÇOS LTDA-ME;ENCERRAMENTO DO CONTRATO.;;ART. 78, C/C ART. 79, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;30/10/2012;17/10/2012;17/10/2012;0,00
BELO HORIZONTE;49774;19868.000020/2008-74;ADITIVOS;09065084000116 - GRUPO SEVEN CONSULTORIA ATIVIDADES FÍSICA E CULTURAIS LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;30/10/2012;20/10/2012;19/10/2013;19809,36
BRASILIA;49778;12014.000087/2007-20;TERMO DE AJUSTE DE CONTAS;37077716000105 - CITY SERVICE SEGURANÇA LTDA;REPACTUAÇÃO DOS VALORES CONTRATADOS.;25/10/2012;ART. 59, PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES C/C ART. 884 DA LEI 10.406/2002 (CÓDIGO CIVIL) E ART. 60 A 64 DA LEI 4.320/1964.;30/10/2012;25/10/2012;30/11/2012;24471,33
BRASILIA SEDE;49781;;INEXIGIBILIDADE COM PROCESSO DECISÓRIO;54526082000131 - ITAUTEC S/A GRUPO ITAUTEC;SERVIÇOS DE MANUTENÇÃO CORRETIVA, EVOLUTIVA E DE SSUPORTE TÉCNICO DA SOLUÇÃO BRPASS.;01/10/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;30/10/2012;01/10/2012;30/09/2013;720665,60
BRASILIA SEDE;49782;70387.000016/2011-71;ADITIVOS;02558157000162 - TELEFÔNICA BRASIL S.A.;INCLUSÃO DE CNPJ DE LOCAIS DE PAGAMENTO.;26/10/2012;"ART. 65, INCISO II, ALÍNEA ""C"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";30/10/2012;26/10/2012;15/09/2016;0,00
CURITIBA;49779;19870.000052/2012-15;DISPENSA DE LICITAÇÃO;04368898000106 - COPEL DISTRIBUIÇÃO S.A.;FORNECIMENTO DE ENERGIA ELÉTRICA.;27/09/2012;ART. 24, INCISO XXII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;30/10/2012;01/10/2012;30/09/2017;4546050,60
SALVADOR;49771;19867.000047/2012-53;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;09144431000104 - ALTAR SERVIÇOS R EMPREENDIMENTOS LTDA ME;AQUISIÇÃO E SUBSTITUIÇÃO DE PISO;16/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;30/10/2012;03/10/2012;31/12/2012;490000,00
BELEM;49790;19864.000022/2012-80;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;84261510000102 - Equitron Sistemas Ltda;SERVIÇO DE MANUTENÇÃO PREVENTIVA E CORRETIVA DE NO-BREAK'S.;24/10/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;31/10/2012;24/10/2012;23/10/2017;72000,00
RIO DE JANEIRO HORTO;49780;12023.000309/2011-81;ADITIVOS;92753268000112 - STEMAC S.A GRUPOS GERADORES;PRORROGAR PRAZO DE EXECUÇÃO E VIGÊNCIA DO CONTRATO.;15/10/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;31/10/2012;18/11/2012;31/12/2012;0,00
RIO DE JANEIRO HORTO;49784;12023.000016/2010-13;ADITIVOS;68582709000186 - CORPUS LINE INDÚSTRIA, COMÉRCIO E SERVIÇOS LTDA.;REPACTUAR O VALOR DO CONTRATO.;25/10/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;31/10/2012;25/10/2012;02/08/2013;10890,24
RIO DE JANEIRO HORTO;49789;12023.000036/2010-94;ADITIVOS;32330003000180 - Proen Projetos Engenharia Comércio e Montagens Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;17/10/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;31/10/2012;05/11/2012;04/11/2013;1846899,84
