Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA SEDE;49975;70387.000016/2006-12;TERMO DE AJUSTE DE CONTAS;76535764000143 - BRASIL TELECOM S/A;TERMO DE AJUSTE DE CONTAS AO CONTRATO DE RG N° 39.949.;04/12/2012;ART. 59, PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES C/C ART. 884 DA LEI 10.406/2002 (CÓDIGO CIVIL) E ART. 60 A 64 DA LEI 4.320/1964.;06/12/2012;04/12/2012;04/12/2012;216279,97
BRASILIA SEDE;49976;70387.000016/2006-12;TERMO DE AJUSTE DE CONTAS;33000118000179 - TELEMAR NORTE LESTE SA;TERMO DE AJUSTE DE CONTAS AO CONTRATO DE RG N° 39.989.;04/12/2012;ART. 59, PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES C/C ART. 884 DA LEI 10.406/2002 (CÓDIGO CIVIL) E ART. 60 A 64 DA LEI 4.320/1964.;06/12/2012;04/12/2012;04/12/2012;264416,4
RECIFE;49978;19866.000165/2011-91;ADITIVOS;07135180000168 - FOX 2 TERCEIRIZAÇÃO E MÃO DE OBRA LTDA ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;19/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;06/12/2012;12/12/2012;11/12/2013;53245,5
RECIFE;49979;19866.000096/2012-04;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;09436873000116 - MG COMERCIO E SERVIÇOS DE INFORMATICA LTDA;FORNECIMENTO, DESMONTE, INSTALAÇÃO E TRANSPORTE, INCLUINDO MÃO DE OBRA, DE BANCO DE BATERIAS EXISTENTE EM NO BREAK'S DE 50KVA E 160KVA;23/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/12/2012;23/11/2012;21/01/2013;74720
RECIFE;49983;19866.000155/2011-55;ADITIVOS;69946663000108 - JSM - CONSTRUÇÃO, SHOWS E EVENTOS LTDA-ME;PRORROGAÇÃO DO PRAZO DE EXECUÇÃO E VIGÊNCIA DO CONTRATO.;;ART. 57, § 1º, INCISO V, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;06/12/2012;23/11/2012;30/12/2012;0
SAO PAULO;49977;70387.000036/2011-42;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;01162636000100 - B2BR - BUSINESS TO BUSINESS INFORMÁTICA DO BRASIL S/A;EXPANSÃO DA SOLUÇÃO DE VIRTUALIZAÇÃO DE ARMAZENAMENTO DE DADOS HITACHI UNIVERSAL STORAGE V SYSTEM.;29/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/12/2012;29/11/2012;28/03/2013;2207000
BRASILIA;49984;12014.000127/2012-09;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;02093942000197 - GCM Máquinas, Peças e Serviços LTDA-ME;PRESTAÇÃO DE SERVIÇOS REPROGRÁFICOS.;29/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;07/12/2012;29/11/2012;28/11/2013;233900
BRASILIA;49991;12014.000126/2012-56;ADITIVOS;08394772000167 - CARLA DIAS VIAGENS E EVENTOS LTDA-ME;ACRÉSCIMO DE SERVIÇOS.;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";10/12/2012;29/11/2012;15/01/2013;23885,94
BRASILIA;49992;12014.000181/2011-65;ADITIVOS;04126931000191 - TEC MAC LOCAÇÃO DE EQUIPAMENTOS LTDA-ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;29/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/12/2012;01/12/2012;30/11/2013;4800
BRASILIA;49994;12014.000181/2011-65;ADITIVOS;04126931000191 - TEC MAC LOCAÇÃO DE EQUIPAMENTOS LTDA-ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;29/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/12/2012;01/12/2012;30/11/2013;3000
BRASILIA;49997;12014.000181/2011-65;ADITIVOS;03793622000102 - SUPRICOPY SUPRIMENTOS E EQUIPAMENTOS REPOGRÁFICOS LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;29/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/12/2012;01/12/2012;30/11/2013;3960
BRASILIA;50001;12014.000181/2011-65;ADITIVOS;14061959000141 - TINS SOLUÇÕES CORPORATIVAS LTDA-ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;29/11/2012;ART. 57, § 1º, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/12/2012;01/12/2012;30/11/2013;3996
FORTALEZA;49998;19865.000062/2012-11;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;06303577000159 - MAZZO INFORMÁTICA E ELETROELETRÔNICOS LTDA - ME;AQUISIÇÃO E INSTALAÇÃO DE NO-BREAKS.;20/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;10/12/2012;21/11/2012;18/02/2013;43605,77
RIO DE JANEIRO HORTO;49995;12023.000206/2012-01;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;73678005000141 - MITRA ENGENHARIA E MONTAGENS INDUSTRIAIS LTDA;SERVIÇOS CONTINUADOS DE ENGENHARIA.;01/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;10/12/2012;01/12/2012;30/11/2013;1096798,32
SAO PAULO;49993;;ADESÃO A ATA DE REGISTRO DE PREÇOS COM PROCESSO DECISÓRIO;01162636000100 - B2BR - BUSINESS TO BUSINESS INFORMÁTICA DO BRASIL S/A;AQUISIÇÃO DE SUBSISTEMAS DE DISCOS HIGH-END.;05/12/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;10/12/2012;05/12/2012;04/06/2013;12497937,66
SAO PAULO;49996;12032.000098/2007-91;ADITIVOS;06946308000100 - AZULY PARTICIPAÇÕES E SERVIÇOS LTDA;RESERVA ORÇAMENTÁRIA.;;"ART. 65, INCISO I, ALÍNEA ""A"", C/C § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.";10/12/2012;30/11/2012;16/12/2012;49202,41
BRASILIA SEDE;50002;19863.000147/2010-58;ADITIVOS;02950570000178 - PBTI SOLUÇÕES LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;06/12/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;11/12/2012;07/12/2012;06/12/2014;3157260,96
BRASILIA SEDE;50002;19863.000147/2010-58;ADITIVOS;02950570000178 - PBTI SOLUÇÕES LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;06/12/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;11/12/2012;07/12/2012;06/12/2014;3157260,96
PORTO ALEGRE;49999;19871.000070/2012-89;INEXIGIBILIDADE SEM PROCESSO DECISÓRIO;05971682000101 - ASSOCIAÇÃO  SOFTWARE LIVRE. ORG;PATROCÍNIO A 11ª OFICINA DE INCLUSÃO DIGITAL E PARTICIPAÇÃO SOCIAL.;27/11/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;11/12/2012;27/11/2012;29/11/2012;50000
SAO PAULO;50006;12032.000014/2010-15;ADITIVOS;08439717000146 - VL SERVIÇOS DE HIGIENIZAÇÃO LTDA - ME;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;11/12/2012;04/12/2012;06/06/2013;1616
BRASILIA;50008;12014.000058/2007-68;ADITIVOS;03591509000144 - DLF ENGENHARIA COMÉRCIO E REPRESENTAÇÃO LTDA;PRORROGAÇÃO EXCEPCIONAL DA VIGÊNCIA POR MAIS 90 (NOVENTA) DIAS.;;ART. 57, § 4º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;12/12/2012;07/12/2012;06/03/2013;243816,96
PORTO ALEGRE;50010;19871.000052/2009-00;ADITIVOS;90347840005187 - THYSSENKRUPP ELEVADORES S/A.;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;12/12/2012;01/12/2012;30/11/2013;3319,8
PORTO ALEGRE;50011;19871.000134/2011-61;ADITIVOS;94851250000189 - CCS SERVIÇOS TERCEIRIZADOS LTDA - ME;SUPRESSÃO DE SERVIÇOS.;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";12/12/2012;01/01/2013;31/10/2013;3413,6
RIO DE JANEIRO HORTO;50007;70387.000045/2009-19;ADITIVOS;67071001000360 - SIEMENS ENTERPRISE COMMUNICATIONS - TECNOLOGIA DA INFORMACAO E COMUNICACOES CORP;SUPRESSÃO DE SERVIÇOS.;01/12/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";12/12/2012;01/12/2012;09/02/2013;38164,92
SAO PAULO;50009;;ADESÃO A ATA DE REGISTRO DE PREÇOS COM PROCESSO DECISÓRIO;81243735000148 - POSITIVO INFORMÁTICA S/A;AQUISIÇÃO DE ESTAÇÕES DE TRABALHO.;06/12/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;12/12/2012;06/12/2012;05/06/2013;3200930
BRASILIA;50024;12014.000083/2012-17;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;90347840000622 - THYSSENKRUPP ELEVADORES S/A;AQUISIÇÃO E INSTALAÇÃO DE ELEVADORES.;03/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;13/12/2012;03/12/2012;02/12/2014;1530000
BRASILIA SEDE;50023;70387.000041/2007-79;ADITIVOS;32578387000154 - UNITECH RIO COMERCIO E SERVIÇOS LTDA;DISTRATO AO CONTRATO DE RG/N°41.539.;11/12/2012;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;13/12/2012;11/12/2012;11/12/2012;0
BELO HORIZONTE;50036;19868.000132/2011-21;ADITIVOS;02449992045427 - VIVO S/A;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;14/12/2012;06/10/2012;05/10/2013;76036,68
BRASILIA;50025;12014.000166/2011-17;ADITIVOS;07951388000155 - TAC MANUTENÇÃO E SERVIÇOS;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;10/12/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;14/12/2012;22/12/2012;21/12/2013;175191,03
BRASILIA;50025;12014.000166/2011-17;ADITIVOS;07951388000155 - TAC MANUTENÇÃO E SERVIÇOS;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;10/12/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;14/12/2012;22/12/2012;21/12/2013;175191,03
BRASILIA SEDE;50035;70387.000016/2006-12;TERMO DE AJUSTE DE CONTAS;33530486000129 - EMPRESA BRASILEIRA DE TELECOMUNICACOES;TERMO DE AJUSTE DE CONTAS AO CONTRATO DE RG N° 39.932.;12/12/2012;ART. 59, PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES C/C ART. 884 DA LEI 10.406/2002 (CÓDIGO CIVIL) E ART. 60 A 64 DA LEI 4.320/1964.;14/12/2012;12/12/2012;12/12/2012;39489,73
FORTALEZA;50026;19865.000152/2011-21;ADITIVOS;12452610000105 - J & C SERVIÇOS DE AGENCIAMENTO DE MÃO-DEÕBRA LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;14/12/2012;01/12/2012;30/11/2013;34995
SAO PAULO;50027;;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;09037118000169 - ONCASE CONSULTORIA EM SISTEMAS LTDA.;AQUISIÇÃO DE LICENÇAS PERPÉTUAS DA SUITE PENTAHO BUSINESS ANALYTICS ENTERPRISE EDITION E SERVIÇOS DE ATUALIZAÇÃO E SUPORTE.;10/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;14/12/2012;10/12/2012;09/12/2014;1302192,96
SAO PAULO;50037;12032.000505/2011-47;ADITIVOS;02198980000104 - Ação Transportes e Turismo Ltda.;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;14/12/2012;01/02/2013;31/01/2014;182080,08
BRASILIA SEDE;50060;19863.000152/2010-61;ADITIVOS;65699100000101 - 3CON CONSULTORIA E SISTEMAS LTDA;PRORROGAÇÃO DO CONTRATO POR 24 (VINTE E QUATRO) MESES.;13/12/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;17/12/2012;20/12/2012;19/12/2014;270320,64
BRASILIA;50070;12014.000156/2011-81;ADITIVOS;01011976000122 - ORION TELECOMUNICAÇÕES ENGENHARIA LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;04/12/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;18/12/2012;05/12/2012;04/12/2013;416299,2
BRASILIA;50069;12014.000070/2011-59;ADITIVOS;38042487000148 - NOVA ESPERANÇA ADMINISTRADORA DE CONDOMÍNIOS ;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;19/12/2012;02/01/2013;01/01/2014;2716792,85
BRASILIA SEDE;50071;;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;04941624000164 - MIRADOR ASSESSORIA ATUARIAL LTDA;CONSULTORIA NA AREA ATUARIAL E CONTÁBIL. ;17/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;19/12/2012;17/12/2012;16/06/2013;24897
BRASILIA SEDE;50075;;DISPENSA DE LICITAÇÃO;03508097000136 - REDE NACIONAL DE ENSINO E PESQUISA;CURSO DE ADMINISTRAÇÃO DE VIDEOCONFERÊNCIA;28/11/2012;ART. 24, INCISO XXIV, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;19/12/2012;28/11/2012;27/05/2013;45696
RECIFE;50073;19866.000047/2009-68;ADITIVOS;04896282000108 - E & S SEGURANÇA LTDA.;REPACTUAR O VALOR DO CONTRATO.;03/12/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;19/12/2012;03/12/2012;09/09/2013;135451,35
RIO DE JANEIRO HORTO;50072;12023.000002/2009-66;ADITIVOS;06037043000128 - GUEPARDO VIGILÂNCIA E SEGURANÇA EMPRESARIAL LTDA;REPACTUAR O VALOR DO CONTRATO.;10/12/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;19/12/2012;10/12/2012;30/04/2013;227878,07
BRASILIA;50091;12014.000070/2009-34;ADITIVOS;01708458000162 - VISÃO ADMINISTRAÇÃO E CONSTRUÇÃO LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;21/12/2012;04/01/2013;03/01/2014;2536294,68
RIO DE JANEIRO HORTO;50089;12023.000480/2011-91;ADITIVOS;33747288000111 - FEDERAÇÃO DAS EMPRESAS DE TRANSPORTES DE PASSAGEIROS DO ESTADO DO RIO DE JANEIRO;SUPRIMIR SUBCLÁUSULAS DO CONTRATO ORIGINAL.;05/12/2012;ART. 54, § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;21/12/2012;05/12/2012;04/01/2013;0
RIO DE JANEIRO HORTO;50090;12023.000072/2008-33;ADITIVOS;27060334000530 - Refrigeração Espirito Santo Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;10/12/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;21/12/2012;15/12/2012;14/12/2013;1920
SALVADOR;50094;19867.000068/2008-92;ADITIVOS;86948692000110 - COPEXPRESS COMERCIO E SERVIÇOS GRÁFICOS LTDA;RETORNO DA FRANQUIA INICIAL DO CONTRATO ORIGINAL. ;;"ART. 65, INCISO I, ALÍNEA ""A"", C/C § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.";21/12/2012;06/12/2012;04/01/2013;2056
SALVADOR;50119;19867.000009/2009-03;ADITIVOS;61600839000155 - Centro de Integração Empresa Escola CIEE;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;21/12/2012;03/12/2012;14/07/2013;14611,8
BRASILIA SEDE;50163;;INEXIGIBILIDADE COM PROCESSO DECISÓRIO;07594862000139 - SOFTWARE AG BRASIL INFORMÁTICA E SERVIÇOS LTDA;SERVIÇOS DE SUPORTE TÉCNICO, MANUTENÇÃO E ATUALIZAÇÃO TECNOLÓGICA PARA PRODUTOS DA FAMÍLIA ADABAS/NATURAL E SOLUÇÃO DE REPLICAÇÃO EM AMBIENTES ADABAS.;21/12/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;27/12/2012;29/12/2012;28/09/2014;24744665,19
BELEM;50169;19864.000024/2008-92;ADITIVOS;06088979000188 - ATIVUS SPORT INDÚSTRIA COMÉRCIO E SERVIÇOS LTDA-ME;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;28/12/2012;21/10/2012;20/10/2013;2898,24
FORTALEZA;50166;19865.000152/2011-21;ADITIVOS;12452610000105 - J & C SERVIÇOS DE AGENCIAMENTO DE MÃO-DEÕBRA LTDA;REPACTUAR O VALOR DO CONTRATO.;21/12/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;28/12/2012;21/12/2012;30/11/2013;3414,24
FORTALEZA;50172;19865.000035/2012-49;ADITIVOS;12067103000158 - FACIL COMÉRCIO SERVIÇOES E CONSTRUÇÕES LTDA;REPACTUAR O VALOR DO CONTRATO.;20/12/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;28/12/2012;20/12/2012;27/05/2013;51450
RECIFE;50167;19866.000083/2011-46;ADITIVOS;33000118000179 - TELEMAR NORTE LESTE SA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;27/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;28/12/2012;01/12/2012;30/11/2013;13962,65
RECIFE;50170;19866.000097/2012-41;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;02726118000127 - SERV CAF LTDA.;PRESTAÇÃO DE SERVIÇOS CONTÍNUOS DE COPA, COM FORNECIMENTO DE MATERIAIS, EQUIPAMENTOS E UTENSÍLIOS.;12/12/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;28/12/2012;12/12/2012;11/12/2013;164965,2
RECIFE;50173;19866.000189/2011-40;ADITIVOS;01880463000158 - MEGA CONSTRUÇÕES LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;19/12/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;28/12/2012;23/12/2012;22/12/2013;473401,55
RIO DE JANEIRO HORTO;50164;12023.000197/2012-40;(CONCORRÊNCIA) CONCORRÊNCIA - ATÉ JUNHO 2012;43209436000106 - Aceco TI Ltda;MANUTENÇÃO PREVENTIVA, CORRETIVA E ASSITÊNCIA TÉCNICA DA SALA-COFRE.;01/12/2012;"ART. 23, INCISO I, ALÍNEA ""C"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";28/12/2012;01/12/2012;30/11/2013;479017,08
BRASILIA;50176;12014.000052/2012-58;ADITIVOS;32901779000102 - NILTON CORREIA ADVOGADOS ASSOCIADOS;ACRÉSCIMO DE SERVIÇOS.;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";31/12/2012;26/12/2012;13/08/2013;27813,13
