Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
RECIFE;48279;19866.000059/2008-10;(OUTROS INSTRUMENTOS) ADITIVOS;08974048000102 - ELV Empresa Locadora de Veículos Ltda;DISTRATAR O CONTRATO ORIGINAL;;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;06/02/2012;18/01/2012;18/01/2012;0
RECIFE;48295;19866.000013/2011-98;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL;10835932000108 - CONPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE;SERVIÇO DE FORNECIMENTO DE ENERGIA ELÉTRICA;06/12/2011;ART. 25, INCISO II E § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;06/02/2012;01/01/2012;31/12/2016;4458619,2
RIO DE JANEIRO;48282;12023.000413/2011-76;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;02228225000125 - RODI-COOP Coop. dos Transp. de Cargas e Passageiros Utilitários e Locação do Rio de Janeiro ;SERVIÇOS DE TRANSPORTE DE PESSOA A SERVIÇO, EQUIPAMENTOS E MATERIAIS DIVERSOS;31/01/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/02/2012;01/02/2012;31/01/2013;1436297,72
SAO PAULO;48281;12032.000507/2011-36;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL;03704695000180 - DARCON 08 ENGENHARIA LTDA;SERVIÇOS DE RECUPERAÇÃO DE PILARETES;01/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;06/02/2012;01/02/2012;20/06/2012;50000
FORTALEZA;48306;19865.000064/2009-13;(OUTROS INSTRUMENTOS) ADITIVOS;02441569000118 - TUPÃ IMPORTAÇÕES LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;27/01/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;07/02/2012;01/02/2012;31/01/2013;200652,24
BELO HORIZONTE;48315;19868.000191/2011-07;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;10915094000182 - RD ENGENHARIA E CONSTRUTORA LTDA;SERVIÇOS DE CONSTRUÇÃO DE PISO E REMOÇÃO E REINSTALAÇÃO DE PAREDES DIVISÓRIAS;30/01/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;08/02/2012;30/01/2012;10/03/2012;80250
BRASILIA;48316;12014.000005/2010-42;(OUTROS INSTRUMENTOS) ADITIVOS;01708458000162 - VISÃO ADMINISTRAÇÃO E SERVIÇOS PROFISSIONAIS LTDA;PRORROGAR A VIGÊNCIA E REPACTUAR O VALOR DO CONTRATO;;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;08/02/2012;03/02/2012;04/03/2013;1538914,17
BRASILIA;48316;12014.000005/2010-42;(OUTROS INSTRUMENTOS) ADITIVOS;01708458000162 - VISÃO ADMINISTRAÇÃO E SERVIÇOS PROFISSIONAIS LTDA;PRORROGAR A VIGÊNCIA E REPACTUAR O VALOR DO CONTRATO;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/02/2012;03/02/2012;04/03/2013;1538914,17
BRASILIA;48317;12014.000158/2011-71;(DISPENSA DE LICITAÇÃO) DISPENSA ACIMA DE R$ 80 MIL ;00082024000137 - CAESB;SERVIÇOS DE ABASTECIMENTO DE ÁGUA E ESGOTO SANITÁRIO.;19/01/2012;ART. 24, INCISO XXII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/02/2012;19/01/2012;18/01/2017;518853,94
FORTALEZA;48308;19865.000016/2009-17;(OUTROS INSTRUMENTOS) ADITIVOS;05594403000120 - ULTRA VIGILÃNCIA LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;31/01/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/02/2012;01/03/2012;28/02/2013;726130,68
SAO PAULO;48313;12032.000106/2007-08;(OUTROS INSTRUMENTOS) ADITIVOS;01756239000159 - COSTA RICA SERVIÇOS TÉCNICOS LTDA - EPP;REPACTUAR O VALOR DO CONTRATO.;;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;08/02/2012;01/02/2012;31/12/2012;122641,09
CURITIBA;48321;19870.000235/2011-41;(DISPENSA DE LICITAÇÃO) DISPENSA ABAIXO DE R$ 80 MIL;04368898000106 - COPEL DISTRIBUIÇÃO S.A.;LOCAÇÃO DE TRANSFORMADOR DE 500 KVA;06/01/2012;ART. 24, INCISO II E PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/02/2012;10/01/2012;08/05/2012;5028,18
FORTALEZA;48319;19865.000036/2008-15;(OUTROS INSTRUMENTOS) ADITIVOS;05877704000160 - ESTAÇÃO SERVIÇOS DE MASSAGEM LTDA-ME;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/02/2012;05/01/2012;04/01/2013;45264
SAO PAULO;48318;12032.000505/2011-47;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;02198980000104 - Ação Transportes e Turismo Ltda.;SERVIÇOS DE TRANSPORTE DE PASSAGEIROS;01/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;09/02/2012;01/02/2012;31/01/2013;182080,08
BRASILIA SEDE;48369;19863.000164/2009-51;(OUTROS INSTRUMENTOS) ADITIVOS;92969856000198 - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;08/02/2012;ART. 57, § 1º, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;13/02/2012;10/02/2012;09/02/2013;0
BRASILIA SEDE;48369;19863.000164/2009-51;(OUTROS INSTRUMENTOS) ADITIVOS;92969856000198 - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;08/02/2012;"ART. 65, INCISO II, ALÍNEA ""B"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";13/02/2012;10/02/2012;09/02/2013;0
BRASILIA SEDE;48369;19863.000164/2009-51;(OUTROS INSTRUMENTOS) ADITIVOS;92969856000198 - UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL - UFRGS;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;08/02/2012;"ART. 65, INCISO II, ALÍNEA ""C"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";13/02/2012;10/02/2012;09/02/2013;0
BRASILIA;48389;12014.000005/2012-12;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;60831344000174 - TOKIO MARINE BRASIL SEGURADORA;SEGURO CONTRA RISCOS DE VIDA EM GRUPO.;06/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;15/02/2012;06/02/2012;05/02/2013;40236
BRASILIA SEDE;48384;19863.000181/2011-11;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;01162636000100 - B2BR - BUSINESS TO BUSINESS INFORMÁTICA DO BRASIL S/A;AQUISIÇÃO DE EXPANSÃO DA SOLUÇÃO DE ARMAZENAMENTO DE CONTEÚDO FIXO HITACHI CONTENT PLATFORM;10/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;15/02/2012;10/02/2012;09/08/2012;6000000
SAO PAULO;48385;12032.000508/2011-81;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;02039010000166 - PRADO   e  OLIVEIRA Engenharia e Construção Ltda.;",SERVIÇOS DE ELABORAÇÃO DE PROJETO EXECUTIVO PARA MODERNIZAÇÃO DO CENTRO DE DADOS""";06/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;15/02/2012;06/02/2012;25/05/2012;89477
BELO HORIZONTE;48397;19868.000001/2010-62;(OUTROS INSTRUMENTOS) ADITIVOS;04437161000106 - QUALITÉCNICA EMPRESA NACIONAL DE SERVIÇOS LTDA;REPACTUAR O VALOR DO CONTRATO;;ART. 58, §1º, C/C ART. 65, INCISO II, ALÍNEA B, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/02/2012;03/01/2012;02/05/2012;71868,78
BELO HORIZONTE;48398;19868.000189/2011-20;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;02447032000165 - TRANSUEL LTDA;SERVIÇOS DE TRANSPORTE DE PESSOA A SERVIÇO, EQUIPAMENTOS E MATERIAIS DIVERSOS;03/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/02/2012;03/02/2012;02/02/2013;283411,12
BRASILIA;48395;12014.000054/2009-41;(OUTROS INSTRUMENTOS) ADITIVOS;08338786000163 - Barao Tur Transportes e Turismo Ltda - ME;REPACTUAR O VALOR DO CONTRATO;;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;16/02/2012;03/02/2012;08/08/2012;4555,96
BRASILIA SEDE;48394;19863.000008/2012-96;(PREGÃO) ADESÃO A ATA DE REGISTRO DE PREÇOS ACIMA DE R$ 80 MIL;02820966000109 - TERACOM TELEMATICA LTDA;AQUISIÇÃO DE SOLUÇÃO DE REDE IP/MPLS.;14/02/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;16/02/2012;14/02/2012;13/02/2013;1678105,18
RIO DE JANEIRO;48399;12023.000002/2009-66;(OUTROS INSTRUMENTOS) ADITIVOS;06037043000128 - GUEPARDO VIGILÂNCIA E SEGURANÇA EMPRESARIAL LTDA;REPACTUAR O VALOR DO CONTRATO.;01/02/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;16/02/2012;01/02/2012;30/04/2012;118000,68
RIO DE JANEIRO;48409;12023.000101/2007-86;(OUTROS INSTRUMENTOS) ADITIVOS;00674347000110 - Nutrifit Assessoria e Consultoria em Saúde Ltda;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;10/02/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/02/2012;14/02/2012;13/02/2013;473670,48
SAO PAULO;48400;12032.000002/2012-52;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL;09150231000156 - Futura Networks do Brasil Consultoria Ltda.;PARTICIPAÇÃO DO SERPRO NO CAMPUS PARTY 2012;01/02/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/02/2012;06/02/2012;04/03/2012;130000
SAO PAULO;48401;70387.000033/2011-17;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;26990812000115 - TECNISYS INFORMATICA E ASSESSORIA EMPRESARIAL LTDA.;CONTRATAÇÃO DE SUBSCRIÇÃO DE PRODUTOS DA PLATAFORMA HED HAT ENTERPRISE LINUX E JBOSS ENTERPRISE APLICATION.;10/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/02/2012;10/02/2012;09/08/2012;3521499
SAO PAULO;48402;70387.000031/2011-10;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;08228010000190 - PORT DISTRIBUIDORA DE ENFORMÁTICA E PAPELARIA LTDA;AQUISIÇÃO DE PAPEL A4 NA COR BRANCA.;06/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/02/2012;09/02/2012;08/02/2013;454280
SAO PAULO;48403;70387.000031/2011-10;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;04196935000227 - GOLDEN Distribuidora Ltda.;AQUISIÇÃO DE PAPEL A4 RECICLADO.;06/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/02/2012;06/02/2012;05/02/2013;289871,6
FORTALEZA;48413;19865.000141/2011-41;(OUTROS INSTRUMENTOS) ADITIVOS;04129689000100 - INTELLISISTEMAS-SISTEMAS DE AUTOMAÇÃO E MANUTENÇÃO LTDA;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 30 (TRINTA) DIAS.;01/02/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;17/02/2012;01/02/2012;30/04/2012;0
SAO PAULO;48412;12032.000031/2007-57;(OUTROS INSTRUMENTOS) ADITIVOS;04440542000136 - ARTE DI FIORI PAISAGISMO E DECORAÇÕES LTDA ME;REPACTUAR O VALOR DO CONTRATO;;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;17/02/2012;03/02/2012;30/06/2012;12830,09
BELO HORIZONTE;48419;19868.000002/2012-79;(DISPENSA DE LICITAÇÃO) DISPENSA ABAIXO DE R$ 80 MIL;90347840000703 - THYSSENKRUPP ELEVADORES S/A;SERVIÇO MANUTENÇÃO PREVENTIVA E CORRETIVA DE ELEVADOR;13/02/2012;ART. 24, INCISO I E PARÁGRAFO ÚNICO, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;23/02/2012;13/02/2012;12/02/2013;5904
RECIFE;48436;19866.000080/2011-11;(OUTROS INSTRUMENTOS) ADITIVOS;03657861000135 - ACF ASSESSORIA E PROJETOS LTDA;PRORROGAR PRAZO DE VIGÊNCIA POR 30 DIAS;;ART. 57, § 1º, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;23/02/2012;01/04/2012;30/04/2012;0
RIO DE JANEIRO;48443;12023.000396/2011-77;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;05504343000107 - APEC AVALIAÇOES E PERÍCIAS DE ENGENHARIA CIVIL S/C LTDA.;EXECUTAR REFORMA NO ANDAR TERREO DO PREDIO 1 REGIONAL RJ/HORTO;13/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;23/02/2012;13/02/2012;11/06/2012;340000
BELEM;48410;19864.000028/2010-95;(OUTROS INSTRUMENTOS) ADITIVOS;03534028000105 - CATA VENTO REFRIGERAÇÃO E SERVIÇOS GERAIS LTDA.;REPACTUAR O VALOR DO CONTRATO;;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;24/02/2012;01/02/2012;15/01/2013;10821,52
BELEM;48450;19864.000018/2010-50;(OUTROS INSTRUMENTOS) ADITIVOS;09211205000190 - SECURITY AMAZON SERVIÇO DE SEGURANÇA PRIVADA LTDA - EPP;REPACTUAR O VALOR DO CONTRATO;15/02/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;24/02/2012;15/02/2012;30/09/2012;118905,99
BRASILIA SEDE;48438;70387.000037/2009-72;(OUTROS INSTRUMENTOS) ADITIVOS;03523778000173 - CONNECTMED-CRC CONSULTORIA, ADMINISTRAÇÃO E TECNOLOGIA EM SAÚDE LTDA.;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;16/02/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;24/02/2012;18/02/2012;17/02/2013;1662000
BRASILIA SEDE;48448;19863.000173/2011-67;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL;00212655000123 - PERFIL GRÁFICA E EDITORA LTDA.;AQUISIÇÃO DE ENVELOPE SACO PARDO VERMELHO;17/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;24/02/2012;17/02/2012;16/05/2012;13500
FLORIANOPOLIS;48416;19870.000014/2010-92;(OUTROS INSTRUMENTOS) ADITIVOS;00511285000125 - HIDROSANE ENGENHARIA S/C.LTDA.;REPACTUAR VALOR DO CONTRATO;01/02/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;24/02/2012;01/02/2012;10/06/2015;12374,4
FLORIANOPOLIS;48420;19870.000047/2009-07;(OUTROS INSTRUMENTOS) ADITIVOS;00511285000125 - HIDROSANE ENGENHARIA S/C.LTDA.;REPACTUAR O VALOR DO CONTRATO;01/02/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;24/02/2012;01/02/2012;30/11/2014;28344,6
PORTO ALEGRE;48451;19871.000134/2011-61;(OUTROS INSTRUMENTOS) ADITIVOS;94851250000189 - CCS SERVIÇOS TERCEIRIZADOS LTDA - ME;ALTERAR SUBCLAUSULAS;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";24/02/2012;10/02/2012;31/10/2012;5810,67
RIO DE JANEIRO;48439;12023.000438/2011-70;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;40432544000147 - CLARO S/A;SERVIÇO DE TELEFONIA MOVEL;;LEI 10.520/2002 E DECRETO 5.450/2005.;24/02/2012;25/01/2012;24/01/2013;157080,48
RIO DE JANEIRO;48449;12023.000008/2008-52;(OUTROS INSTRUMENTOS) ADITIVOS;08974048000102 - ELV Empresa Locadora de Veículos Ltda;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;15/02/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;24/02/2012;19/03/2012;18/03/2013;122789,04
BRASILIA SEDE;48469;19863.000166/2010-84;(OUTROS INSTRUMENTOS) ADITIVOS;00441200000180 - Sérgio Machado Reis EPP;PRORROGAR A VIGÊNCIA DO CONTRATO POR 12 MESES;17/02/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;27/02/2012;22/02/2012;21/02/2013;33000
SAO PAULO;48479;12032.000490/2011-17;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL;03949258000127 - Bass Elevadores Ltda. - EPP.;AQUISIÇÃO E INSTALAÇÃO DE ELEVADORES;14/02/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;27/02/2012;22/02/2012;17/04/2013;443810
RIO DE JANEIRO;48485;12023.000024/2010-60;(OUTROS INSTRUMENTOS) ADITIVOS;04198061000166 - AIR TIME ENGENHARIA E INSTALAÇÕES LTDA.;ACRÉSCIMO DE SERVIÇO AO CONTRATO ORIGINAL;10/02/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;28/02/2012;10/02/2012;10/07/2012;152773,75
RIO DE JANEIRO;48485;12023.000024/2010-60;(OUTROS INSTRUMENTOS) ADITIVOS;04198061000166 - AIR TIME ENGENHARIA E INSTALAÇÕES LTDA.;ACRÉSCIMO DE SERVIÇO AO CONTRATO ORIGINAL;10/02/2012;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";28/02/2012;10/02/2012;10/07/2012;152773,75
BELEM;48507;19864.000005/2011-61;(OUTROS INSTRUMENTOS) ADITIVOS;01427148000170 - COPBESSA LTDA.;REPACTUAR O VALOR DO CONTRATO;23/02/2012;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;29/02/2012;23/02/2012;31/07/2012;25151,88
