Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
BRASILIA;49821;12014.000095/2012-33;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;26415117000120 - ROCHA BRESSAN ENGENHARIA INDUSTRIA E COMERCIO LTDA;AQUISIÇÃO E INSTALAÇÃO DE QUADRO DE PAINEL ELETRICO TIPO UNIDADE DE DISTRIBUIÇÃO DE POTÊNCIA PDU.;05/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;08/11/2012;05/11/2012;04/02/2013;189000
RIO DE JANEIRO HORTO;49829;12023.000059/2010-07;ADITIVOS;03578224000173 - Geraquip Geradores e Equipamentos Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;05/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;08/11/2012;01/12/2012;30/11/2013;50473,92
BRASILIA SEDE;49835;19863.000106/2009-28;ADITIVOS;33372251000156 - IBM BRASIL - INDÚSTRIA, MÁQUINAS E SERVIÇOS LTDA;SUPRIMIR SERVIÇOS E PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;07/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;09/11/2012;09/11/2012;08/11/2013;966528
BRASILIA SEDE;49835;19863.000106/2009-28;ADITIVOS;33372251000156 - IBM BRASIL - INDÚSTRIA, MÁQUINAS E SERVIÇOS LTDA;SUPRIMIR SERVIÇOS E PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;07/11/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";09/11/2012;09/11/2012;08/11/2013;966528
SAO PAULO;49840;12032.000005/2010-24;ADITIVOS;51549301000100 - ASSOCIAÇÃO DE ENSINO SOCIAL PROFISSIONALIZANTE (ESPRO);RETIFICAR VALOR DO CONTRATO ORIGINAL;;ART. 54, § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;09/11/2012;06/11/2012;01/08/2015;533412
BELEM;49838;19864.000018/2011-31;ADITIVOS;63724470000118 - VISAM VIGILÂNCIA E SEGURANÇA DA AMAZÔNIA LTDA.;REPACTUAR O VALOR DO CONTRATO.;31/10/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;12/11/2012;31/10/2012;15/08/2013;25032,22
BRASILIA SEDE;49839;;ADESÃO A ATA DE REGISTRO DE PREÇOS COM PROCESSO DECISÓRIO;03585905000169 - IT7 SISTEMAS LTDA;AQUISIÇÃO DE LICENÇAS DE SOFTWARES;08/11/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;13/11/2012;08/11/2012;07/11/2013;8219040
SAO PAULO;49848;;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;04027547000131 - TELEFÔNICA DATA S.A.;SERVIÇOS DE TELECOMUNICAÇÃO DE DADOS.;08/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;13/11/2012;08/11/2012;07/11/2017;4943079,6
SAO PAULO;49850;;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;02558157000162 - TELEFÔNICA BRASIL S.A.;SERVIÇOS DE TELECOMUNICAÇÃO DE DADOS.;08/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;13/11/2012;08/11/2012;07/11/2017;3699998,4
BELEM;49853;19864.000048/2012-28;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;08057864000151 - B G SERVICE LTDA-ME;AQUISIÇÃO E INSTALAÇÃO DE MODULADOS.;08/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;14/11/2012;08/11/2012;05/02/2013;90000
BRASILIA SEDE;49852;;INEXIGIBILIDADE COM PROCESSO DECISÓRIO;05761098000113 - KRYPTUS SEGURÂNÇA DA INFORMAÇÃO LTDA;SERVIÇOS DE ATUALIZAÇÃO TECNOLÓGICA DE MÓDULOS DE SEGURANÇA CRIPTOGRÁFICOS.;12/11/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;14/11/2012;12/11/2012;11/11/2013;480000
PORTO ALEGRE;49854;19871.000020/2011-11;ADITIVOS;04129689000100 - INTELLISISTEMAS-SISTEMAS DE AUTOMAÇÃO E MANUTENÇÃO LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;14/11/2012;23/11/2012;22/11/2013;17550
BRASILIA SEDE;49863;;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;08923710000103 - ZIP TECH - INFORMÁTICA LTDA ME;AQUISIÇÃO DE DISCOS RÍGIDOS.;14/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;19/11/2012;14/11/2012;13/05/2013;27127,5
BRASILIA SEDE;49874;19863.000019/2010-12;ADITIVOS;02288055000174 - BENNER SISTEMAS S/A;ALTERAR CLÁUSULA E PRORROGAR VIGÊNCIA DO CONTRATO.;14/11/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;19/11/2012;14/11/2012;21/01/2014;0
BRASILIA SEDE;49874;19863.000019/2010-12;ADITIVOS;02288055000174 - BENNER SISTEMAS S/A;ALTERAR CLÁUSULA E PRORROGAR VIGÊNCIA DO CONTRATO.;14/11/2012;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";19/11/2012;14/11/2012;21/01/2014;0
PORTO ALEGRE;49877;19871.000052/2009-00;ADITIVOS;90347840005187 - THYSSENKRUPP ELEVADORES S/A.;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;19/11/2012;31/10/2012;30/11/2012;188,64
RIO DE JANEIRO HORTO;49862;12023.000222/2012-95;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;31245376000190 - SERIAL SISTEMAS LTDA;MANUTENÇÃO PREVENTIVA E CORRETIVA DE SISTEMA DE SOM;01/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;19/11/2012;01/11/2012;31/10/2013;10596
RIO DE JANEIRO HORTO;49866;12023.000252/2012-00;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;33498551000186 - Turismo Três Amigos Ltda;SERVIÇOS DE TRANSPORTE PARA EMPREGADOS.;05/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;19/11/2012;05/11/2012;04/11/2013;1560000
SAO PAULO;49887;;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;04164616000159 - TNL PCS S/A;SERVIÇOS DE TELECOMUNICAÇÃO DE DADOS;08/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;20/11/2012;14/11/2012;13/11/2017;118139689,8
SAO PAULO;49888;;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;33530486000129 - EMPRESA BRASILEIRA DE TELECOMUNICACOES;SERVIÇOS DE TELECOMUNICAÇÃO DE DADOS;08/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;20/11/2012;14/11/2012;13/11/2017;69833843,4
SAO PAULO;49891;;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;72843212000141 - LEVEL 3 COMUNICAÇÕES DO BRASIL LTDA;SERVIÇOS DE TELECOMUNICAÇÃO DE DADOS;08/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;20/11/2012;14/11/2012;13/11/2017;18303400,8
BELEM;49892;19864.000035/2008-72;ADITIVOS;09308239000106 - M.R.DE LIMA PALHETA-ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;14/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;21/11/2012;20/11/2012;19/11/2013;10800
BRASILIA;49889;12014.000108/2012-74;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;00706148000146 - Brasilmed Auditoria Médica e Serviços S/C;SERVIÇO DE MEDICINA DO TRABALHO ;09/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;21/11/2012;09/11/2012;08/11/2013;686722,2
BRASILIA;49890;12014.000058/2007-68;ADITIVOS;03591509000144 - DLF ENGENHARIA COMÉRCIO E REPRESENTAÇÃO LTDA;REPACTUAR O VALOR DO CONTRATO.;16/11/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;21/11/2012;16/11/2012;07/12/2012;33426,5
FLORIANOPOLIS;49886;19885.000008/2012-38;DISPENSA DE LICITAÇÃO;08336783000190 - CELESC DISTRIBUIÇÃO S.A.;FORNECIMENTO DE ENERGIA ELÉTRICA.;19/10/2012;ART. 24, INCISO XXII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;21/11/2012;19/10/2012;18/10/2017;900000
BRASILIA;49900;12014.000125/2012-10;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;00708271000104 - ICOP INSTALAÇÕES TÉCNICA, CONSTRUÇÕES E PROJETOS LTDA;SERVIÇOS DE IMPERMEABILIZAÇÃO.;19/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;22/11/2012;19/11/2012;18/05/2013;260980
BRASILIA SEDE;49898;70387.000021/2009-60;ADITIVOS;06926223000160 - AMÉRICA TECNOLOGIA DE INFORMÁTICA E ELETRO-ELETRÔNICOS LTDA;REPACTUAR O VALOR DO CONTRATO.;21/11/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;22/11/2012;21/11/2012;16/09/2014;85750
RIO DE JANEIRO HORTO;49895;12023.000011/2011-71;ADITIVOS;06141118000116 - VS BRASIL SEGURANÇA E VIGILANCIA LTDA - EPP;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;22/11/2012;01/11/2012;10/07/2013;207596,86
BELO HORIZONTE;49903;19868.000008/2010-84;ADITIVOS;02897073000153 - PS EDITORA LTDA;REAJUSTE DE PREÇOS.;;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;23/11/2012;05/11/2012;31/08/2013;324,36
RIO DE JANEIRO HORTO;49896;12023.000011/2011-71;ADITIVOS;06141118000116 - VS BRASIL SEGURANÇA E VIGILANCIA LTDA - EPP;SUPRESSÃO DE CLÁUSULA CONTRATUAL;;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";23/11/2012;01/11/2012;10/07/2013;0
RIO DE JANEIRO HORTO;49899;12023.000214/2012-49;ADITIVOS;02855141000111 - ESCOLA TECNICA PROFISSIONAL LTDA ME;PRORROGAR PRAZO DE EXECUÇÃO E VIGÊNCIA DO CONTRATO.;;ART. 57,  § 1º, INCISO III, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;23/11/2012;25/11/2012;07/01/2013;0
SAO PAULO;49902;;PREGÃO ELETRÔNICO COM PROCESSO DECISÓRIO;01162636000100 - B2BR - BUSINESS TO BUSINESS INFORMÁTICA DO BRASIL S/A;SERVIÇOS DE CONSULTORIA ESPECIALIZADA PARA PRODUTOS DA FAMÍLIA DE SOFTWARE ORACLE.;16/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;23/11/2012;16/11/2012;15/11/2014;1299993,46
RIO DE JANEIRO HORTO;49897;12023.000011/2011-71;ADITIVOS;06141118000116 - VS BRASIL SEGURANÇA E VIGILANCIA LTDA - EPP;ALTERAR RAZÃO SOCIAL DA CONTRATADA.;;ART. 54, § 1º, C/C O ART. 61, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;26/11/2012;01/11/2012;10/07/2013;0
BRASILIA SEDE;49927;70387.000022/2011-29;ADITIVOS;06060124000149 - QUINTA ONDA SERVIÇOS EM TECNOLOGIA DA INFORMAÇÃO LTDA. ;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;16/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;27/11/2012;17/11/2012;16/11/2013;166800
CURITIBA;49920;19870.000056/2012-95;INEXIGIBILIDADE SEM PROCESSO DECISÓRIO;76484013000145 - COMPANHIA DE SANEAMENTO DO PARANÁ - SANEPAR;FORNECIMENTO DE ÁGUA POTÁVEL E COLETA E TRATAMENTO DE ESGOTO.;29/10/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;27/11/2012;29/10/2012;28/10/2017;272060,4
SALVADOR;49921;19867.000077/2010-06;ADITIVOS;03758809000175 - Manutécnica Manutenção Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;27/11/2012;01/11/2012;31/10/2013;5496
SALVADOR;49936;19867.000050/2009-71;ADITIVOS;40432544000147 - CLARO S/A;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;28/11/2012;03/11/2012;02/11/2013;17056,2
BELEM;49938;19864.000042/2012-51;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;13523446000142 - SEVEN ENGENHARIA E SERVIÇOS LTDA.;PRESTAÇÃO DE SERVIÇO DE OPERAÇÃO DE MESA TELEFÔNICA.;22/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;29/11/2012;03/12/2012;02/12/2017;231144,6
FLORIANOPOLIS;49934;19870.000039/2010-96;ADITIVOS;09310539000111 - GUIPESERVICE SERVIÇOS E MANUTENÇÃO LTDA.;PRORROGAÇÃO DO CONTRATO POR 03 (TRÊS) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/11/2012;06/11/2012;05/02/2013;64408,44
RECIFE;49937;19866.000085/2011-35;ADITIVOS;09540692000135 - BETA BRASIL SERVIÇOS DE CONSERVAÇÃO E LIMPEZA LTDA EPP;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;21/11/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/11/2012;12/12/2012;11/12/2013;497812,92
SALVADOR;49939;19867.000070/2012-48;ADITIVOS;08938952000162 - E3MASTER CONSTRUTORA E INCORPORADORA LTDA EPP;PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO.;;ART. 57,  § 1º, INCISO III, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/11/2012;13/11/2012;12/12/2012;0
SALVADOR;49939;19867.000070/2012-48;ADITIVOS;08938952000162 - E3MASTER CONSTRUTORA E INCORPORADORA LTDA EPP;PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO.;;ART. 57, § 1º, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/11/2012;13/11/2012;12/12/2012;0
SAO PAULO;49935;12032.000042/2010-32;ADITIVOS;10478353000155 - DIVISA Segurança Privada Ltda.;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;29/11/2012;21/11/2012;04/09/2015;56453,86
CURITIBA;49945;19870.000030/2008-61;ADITIVOS;80033004000105 - FUTURA ADMINISTRAÇÃO E SERVIÇOS DE LIMPEZA CONSERVAÇÃO E PORTARIA LTDA.;PRORROGAR A VIGÊNCIA POR MAIS 12 (DOZE) MESES E REPACTUAR O VALOR DO CONTRATO.;;ART. 40, INCISO XI, C/C ART. 55, INCISO III, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;30/11/2012;01/12/2012;30/11/2013;92556,24
CURITIBA;49945;19870.000030/2008-61;ADITIVOS;80033004000105 - FUTURA ADMINISTRAÇÃO E SERVIÇOS DE LIMPEZA CONSERVAÇÃO E PORTARIA LTDA.;PRORROGAR A VIGÊNCIA POR MAIS 12 (DOZE) MESES E REPACTUAR O VALOR DO CONTRATO.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;30/11/2012;01/12/2012;30/11/2013;92556,24
RIO DE JANEIRO ANDARAÍ;49941;12023.000237/2012-53;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;12135947000199 - RIO MIX 10Representações, Comercio e Serviços Ltda-EPP;SERVIÇOS DE LIMPEZA, HIGIENIZAÇÃO E CONSERVAÇÃO PREDIAL.;27/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005 C/C ART.48, INCISO I DA LC 123/2006.;30/11/2012;01/12/2012;30/11/2013;1703998,45
SAO PAULO;49940;12032.000135/2012-29;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;67726505000109 - TM Solutions Tec. Informação Ltda.;AQUISIÇÃO E INSTALAÇÃO DE EQUIPAMENTOS PARA IMPLEMENTAÇÃO DE SISTEMA DE CABEAMENTO ESTRUTURADO GENÉRICO.;12/11/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;30/11/2012;12/11/2012;01/04/2013;1700000
