Unidade Emitente;Registro Número;Número Processo;Tipo Contratação;Fornecedor CNPJ/CPF - Nome;Objeto Documento Contratual;Data Conclusão Contratação;Fundamentação Legal;Registro Data Publicação D.O.U;Data Vigência Inicial;Data Vigência Final;Valor Contratado R
PORTO ALEGRE;49386;19871.000042/2012-61;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;04281402000162 - VIGILÂNCIA ASGARRAS S/C LTDA.;SERVIÇOS DE VIGILÂNCIA ARMADA.;01/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;08/08/2012;19/08/2012;18/08/2013;709045,00
RECIFE;49384;19866.000031/2011-70;(OUTROS INSTRUMENTOS) ADITIVOS - ATÉ JUNHO 2012;09024439000129 - F F DAS NEVES SAÚDE AMBIENTAL ME;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES;30/07/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/08/2012;15/08/2012;14/08/2013;3099,96
RECIFE;49390;19866.000155/2011-55;ADITIVOS;69946663000108 - JSM - CONSTRUÇÃO, SHOWS E EVENTOS LTDA-ME;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 60 (SESSENTA) DIAS;27/07/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/08/2012;27/07/2012;26/09/2012;0,00
RIO DE JANEIRO ANDARAÍ;49389;12023.000309/2011-81;ADITIVOS;92753268000112 - STEMAC S.A GRUPOS GERADORES;ACRÉSCIMO DE SERVIÇOS.;26/07/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;08/08/2012;15/08/2012;17/11/2012;13610,00
RIO DE JANEIRO ANDARAÍ;49389;12023.000309/2011-81;ADITIVOS;92753268000112 - STEMAC S.A GRUPOS GERADORES;ACRÉSCIMO DE SERVIÇOS.;26/07/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";08/08/2012;15/08/2012;17/11/2012;13610,00
FORTALEZA;49391;19865.000037/2012-38;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL - ATÉ JUNHO 2012;14742012000104 - GRID POWER SOLUTIONS;MANUTENÇÃO DE NO BREAKS.;01/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;09/08/2012;01/08/2012;31/07/2013;65898,00
RIO DE JANEIRO ANDARAÍ;49396;70387.000045/2009-19;ADITIVOS;67071001000360 - SIEMENS ENTERPRISE COMMUNICATIONS - TECNOLOGIA DA INFORMACAO E COMUNICACOES CORP;SUPRESSÃO DE SERVIÇOS.;01/08/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";09/08/2012;01/08/2012;09/02/2013;13089,30
BRASILIA SEDE;49398;19863.000166/2012-46;INEXIGIBILIDADE COM PROCESSO DECISÓRIO;21649280000133 - BULL LTDA;SERVIÇOS DE MANUTENÇÃO,ATUALIZAÇÃO E SUPORTE TÉCNICO NA SOLUÇÃO IA-THENTICATE.;01/08/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/08/2012;01/08/2012;31/07/2013;2885525,40
BRASILIA SEDE;49399;70387.000033/2011-17;ADITIVOS;26990812000115 - TECNISYS INFORMATICA E ASSESSORIA EMPRESARIAL LTDA.;PRORROGAR A VIGÊNCIA DOCONTRATO POR MAIS 06 (SEIS) MESES.;08/08/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;10/08/2012;10/08/2012;09/02/2013;0,00
PORTO ALEGRE;49397;19871.000041/2012-17;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;86937992000101 - EMANT - ENGENHARIA, INSTALAÇÕES E MANUTENÇÃO LTDA.;PRESTAÇÃO DE SERVIÇOS CONTINUADOS DE OPERAÇÃO E MANUTENÇÃO DE INSTALAÇÕES PREDIAIS.;07/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;10/08/2012;18/08/2012;17/08/2013;557500,00
CURITIBA;49432;19870.000028/2011-97;ADITIVOS;02631287000183 - GRUGER GRUPOS GERADORES LTDA.;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;15/08/2012;15/08/2012;14/08/2013;7398,00
BELO HORIZONTE;49440;19868.000024/2012-39;ADITIVOS;03446676000100 - FRANCO SERVIÇOS E CONSTRUÇÕES LTDA;ACRÉSCIMO DE SERVIÇOS.;;"ART. 65, INCISO I, ALÍNEA ""A"", DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";16/08/2012;13/08/2012;31/08/2012;2837,30
BELO HORIZONTE;49440;19868.000024/2012-39;ADITIVOS;03446676000100 - FRANCO SERVIÇOS E CONSTRUÇÕES LTDA;ACRÉSCIMO DE SERVIÇOS.;;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";16/08/2012;13/08/2012;31/08/2012;2837,30
BRASILIA;49438;12014.000063/2012-38;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;00949483000175 - ABBA SERVIÇOS GERAIS LTDA;SERVIÇOS DE LAVANDERIA E PASSAGEM A FERRO DE TOALHAS.;08/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/08/2012;08/08/2012;07/08/2013;5049,00
BRASILIA SEDE;49437;70387.000031/2011-10;ADITIVOS;08228010000190 - PORT DISTRIBUIDORA DE ENFORMÁTICA E PAPELARIA LTDA;ACRÉSCIMO DE VALOR AO CONTRATO.;14/08/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";16/08/2012;14/08/2012;08/02/2013;113455,00
RIO DE JANEIRO ANDARAÍ;49439;12023.000195/2012-51;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;36100907000170 - LA GRECA FERREIRA CONSTRUTORA LTDA;REFORMA DE PASSARELAS E COBERTURAS EM ESTRUTURA METÁLICA E POLICARBONATO.;09/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;16/08/2012;18/08/2012;15/12/2012;329000,00
RIO DE JANEIRO ANDARAÍ;49441;12023.000345/2011-45;ADITIVOS;01815999000190 - Torres Engenharia e Consultoria Ltda;PRORROGAÇÃO DA VIGÊNCIA DO CONTRATO.;01/08/2012;ART. 57,  § 1º, INCISO I, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/08/2012;01/08/2012;31/12/2012;0,00
RIO DE JANEIRO ANDARAÍ;49442;12023.000017/2010-68;ADITIVOS;73678005000141 - MITRA ENGENHARIA E MONTAGENS INDUSTRIAIS LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;14/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/08/2012;20/09/2012;19/09/2013;952671,84
SALVADOR;49443;19867.000054/2010-93;ADITIVOS;05873202000161 - Freitas Guimarães Engenharia Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;16/08/2012;01/09/2012;31/08/2013;46787,04
BELEM;49448;19864.000018/2011-31;ADITIVOS;63724470000118 - VISAM VIGILÂNCIA E SEGURANÇA DA AMAZÔNIA LTDA.;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;14/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;17/08/2012;16/08/2012;15/08/2013;120546,84
BELO HORIZONTE;49449;19868.000020/2012-51;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;65725129000102 - GRIF APLICAÇÃO E DECORAÇÃO LTDA;AQUISIÇÃO E INSTALAÇÃO DE MOBILIÁRIO, PAINÉIS DIVISÓRIOS E ACESSÓRIOS.;;LEI 10.520/2002 E DECRETO 5.450/2005.;20/08/2012;13/08/2012;11/09/2012;92050,00
BRASILIA;49446;12014.000052/2012-58;(CONCORRÊNCIA) CONCORRÊNCIA - TÉCNICA E PREÇO - ATÉ JUNHO 2012;32901779000102 - NILTON CORREIA ADVOGADOS ASSOCIADOS;SERVIÇOS DE ADVOCACIA.;14/08/2012;"ART. 23, INCISO II, ALÍNEA ""C"", C/C ART. 45, INCISO III, E ART. 46, DA LEI 8.666/1993.";20/08/2012;14/08/2012;13/08/2013;418608,00
CURITIBA;49453;19870.000005/2010-00;ADITIVOS;51549301000703 - ASSOCIAÇÃO DE ENSINO SOCIAL PROFISSIONALIZANTE (ESPRO);PRORROGAÇÃO, REPACTUAÇÃO E SUPRESSÃO DO VALOR DO CONTRATO.;13/07/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;20/08/2012;15/07/2012;14/07/2014;406716,96
CURITIBA;49453;19870.000005/2010-00;ADITIVOS;51549301000703 - ASSOCIAÇÃO DE ENSINO SOCIAL PROFISSIONALIZANTE (ESPRO);PRORROGAÇÃO, REPACTUAÇÃO E SUPRESSÃO DO VALOR DO CONTRATO.;13/07/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;20/08/2012;15/07/2012;14/07/2014;406716,96
CURITIBA;49453;19870.000005/2010-00;ADITIVOS;51549301000703 - ASSOCIAÇÃO DE ENSINO SOCIAL PROFISSIONALIZANTE (ESPRO);PRORROGAÇÃO, REPACTUAÇÃO E SUPRESSÃO DO VALOR DO CONTRATO.;13/07/2012;ART. 65, INCISO II, § 2º, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;20/08/2012;15/07/2012;14/07/2014;406716,96
FORTALEZA;49447;19865.000014/2010-61;ADITIVOS;09517329000107 - Multi Service Serviços Técnicos LTDA ME;DISTRATAR CONTRATO.;;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;20/08/2012;16/07/2012;16/07/2012;0,00
PORTO ALEGRE;49452;19871.000026/2010-15;ADITIVOS;06066194000104 - JUDICE SOLUÇÕES ELETRÔNICAS LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;20/08/2012;16/09/2012;15/09/2013;2400,00
RECIFE;49451;19866.000047/2009-68;ADITIVOS;04896282000108 - E & S SEGURANÇA LTDA.;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;03/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;20/08/2012;10/09/2012;09/09/2013;640242,36
RIO DE JANEIRO ANDARAÍ;49454;12023.000027/2009-60;ADITIVOS;33621319000193 - Província Carmelitana de Santo Elias;RETIFICAÇÃO DO VALOR DO CONTRATO.;01/08/2012;ART. 54, § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;20/08/2012;01/08/2012;22/08/2012;101764,27
SALVADOR;49450;19867.000070/2012-48;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;08938952000162 - E3MASTER CONSTRUTORA E INCORPORADORA LTDA EPP;SUBSTITUIÇÃO DAS TUBULAÇÕES DE AGUAS PLUVIAIS E IMPERMEABILIZAÇÃO DAS CALHAS DOS TELHADOS.;14/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;20/08/2012;15/08/2012;12/11/2012;149999,99
BRASILIA;49463;12014.000081/2012-10;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;03502099000118 - ACE SEGURADORA S/A;AQUISIÇÃO DE COBERTURA SECURITÁRIA AOS BENS PATRIMONIAIS DO SERPRO.;13/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;21/08/2012;13/08/2012;12/08/2013;390000,00
RECIFE;49465;19866.000160/2011-68;ADITIVOS;08466488000159 - GVP AUTO LOCADORA & SERVIÇOS LTDA;SUPRESSÃO DE SERVIÇOS.;15/08/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";21/08/2012;15/08/2012;01/01/2013;22618,26
SAO PAULO;49462;70387.000011/2012-20;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;02068632000112 - SOFTTEK TECNOLOGIA DA INFORMACAO LTDA;MANUTENÇÃO,SUPORTE TÉCNICO REMOTO E ATUALIZAÇÃO TÉCNICA PARA SOFTWARES DA FAMÍLIA INFORMÁTICA POWERCENTER.;15/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;21/08/2012;15/08/2012;14/08/2015;2265110,64
BELEM;49467;19864.000019/2011-85;ADITIVOS;10828575000150 - KL SERVIÇOS EMPRESARIAIS LTDA - ME;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;17/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;22/08/2012;01/09/2012;31/08/2013;51000,00
BELEM;49468;19864.000018/2010-50;ADITIVOS;09211205000190 - SECURITY AMAZON SERVIÇO DE SEGURANÇA PRIVADA LTDA - EPP;REPACTUAR O VALOR DO CONTRATO.;14/08/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;22/08/2012;14/08/2012;30/09/2012;50543,01
CURITIBA;49466;19870.000034/2009-20;ADITIVOS;76484013000145 - COMPANHIA DE SANEAMENTO DO PARANÁ - SANEPAR;PRORROGAR A VIGÊNCIA DO CONTRATO POR MAIS 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;22/08/2012;01/09/2012;31/08/2013;51326,28
FORTALEZA;49469;19865.000064/2009-13;ADITIVOS;02441569000118 - TUPÃ IMPORTAÇÕES LTDA;REPACTUAR O VALOR DO CONTRATO.;10/08/2012;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;22/08/2012;10/08/2012;31/01/2013;11286,66
BRASILIA;49476;12014.000095/2010-71;ADITIVOS;33065699000127 - ROYAL e SUNALLIANCE SEGUROS (BRASIL) S. A.;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;24/08/2012;06/08/2012;05/08/2013;3658,89
BELO HORIZONTE;49478;19868.000008/2010-84;ADITIVOS;02897073000153 - PS EDITORA LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C A CLÁUSULA CONTRATUAL ESPECÍFICA.;27/08/2012;01/09/2012;31/08/2013;6240,00
BRASILIA SEDE;49483;19863.000141/2012-42;(INEXIGIBILIDADE) INEXIGIBILIDADE ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;02869307000159 - MICROSTRATEGY BRASIL LTDA;AQUISIÇÃO DE LICENÇAS E SUPORTE TÉCNICO PARA SOFTWARES MICROSTRATEGY.;24/08/2012;ART. 25, CAPUT, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;27/08/2012;24/08/2012;23/08/2013;2475066,30
BELEM;49487;19864.000029/2012-00;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;07875146000120 - SERRA MOBILE INDÚSTRIA E COMÉRCIO LTDA - ME;AQUISIÇÃO E INSTALAÇÃO DE POLTRONAS E CADEIRAS PARA AUDITÓRIO.;21/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;28/08/2012;21/08/2012;20/08/2013;166000,00
BRASILIA;49499;12014.000065/2009-21;ADITIVOS;04229587000166 - ORYBRAM ADMINISTRAÇÃO DE BENS LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/08/2012;26/10/2012;25/10/2013;44940,00
RIO DE JANEIRO ANDARAÍ;49489;12023.000006/2009-44;ADITIVOS;62532007000292 - EATON POWER SOLUTION LTDA;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;03/08/2012;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;29/08/2012;03/08/2012;02/08/2013;63544,20
RIO DE JANEIRO ANDARAÍ;49504;12023.000396/2011-77;ADITIVOS;05504343000107 - APEC AVALIAÇOES E PERÍCIAS DE ENGENHARIA CIVIL S/C LTDA.;ACRÉSCIMO DE SERVIÇOS.;13/08/2012;"ART. 65, INCISO I, ALÍNEA ""B"", E O § 1º, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.";29/08/2012;12/06/2012;27/08/2012;71437,68
BRASILIA;49525;12014.000088/2012-31;PREGÃO ELETRÔNICO SEM PROCESSO DECISÓRIO;00578617000199 - PROCLIMA ENGENHARIA LTDA;AQUISIÇÃO E INSTALAÇÃO DE SISTEMAS DE CLIMATIZAÇÃO.;28/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;30/08/2012;28/08/2012;27/04/2013;2483690,00
BRASILIA SEDE;49535;70387.000017/2010-35;ADITIVOS;33530486000129 - EMPRESA BRASILEIRA DE TELECOMUNICACOES;DISTRATO AO CONTRATO DE RG/N°45.105.;01/08/2012;ART. 79, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;30/08/2012;01/08/2012;01/08/2012;0,00
PORTO ALEGRE;49523;19871.000053/2012-41;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;00695097000102 - PERTINÁ LOGÍSTICA LTDA-ME;PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE DE PESSOAS A SERVIÇO,MALOTES,EQUIPAMENTOS E MATERIAIS DIVERSOS.;23/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;30/08/2012;23/08/2012;22/08/2013;269893,41
RIO DE JANEIRO ANDARAÍ;49524;12023.000166/2012-99;DISPENSA DE LICITAÇÃO;60444437000146 - LIGHT SERVIÇOS DE ELETRICIDADE S.A;FORNECIMENTO DE ENERGIA ELÉTRICA.;10/08/2012;ART. 24, INCISO XXII, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;30/08/2012;01/09/2012;31/08/2015;840000,00
SAO PAULO;49522;12032.000084/2012-35;(PREGÃO) PREGÃO ELETRÔNICO ACIMA DE R$ 80 MIL - ATÉ JUNHO 2012;05498127000104 - E C R Consultoria Ltda.;PROJETO BÁSICO E EXECUTIVO PARA SERVIÇOS DE REFORMA. ;13/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;30/08/2012;13/08/2012;31/03/2013;344736,00
SAO PAULO;49534;12032.000133/2012-30;(PREGÃO) PREGÃO ELETRÔNICO ATÉ R$ 80 MIL - ATÉ JUNHO 2012;04953178000108 - RELUMA Beneficiamento Industria & Comércio Ltda. - EPP;AQUISIÇÃO E INSTALAÇÃO DE ESTRUTURAS METÁLICAS.;27/08/2012;LEI 10.520/2002 E DECRETO 5.450/2005.;30/08/2012;27/08/2012;14/01/2013;47408,53
BRASILIA;49541;12014.000035/2010-59;ADITIVOS;09074738000178 - Erico Santos Cultura Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;31/08/2012;25/08/2012;24/08/2013;118370,59
BRASILIA;49541;12014.000035/2010-59;ADITIVOS;09074738000178 - Erico Santos Cultura Ltda;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES E REPACTUAR VALOR DO CONTRATO.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;31/08/2012;25/08/2012;24/08/2013;118370,59
BRASILIA;49542;70387.000013/2011-38;ADITIVOS;09472012000193 - MML SERVIÇOS LTDA - ME;PRORROGAÇÃO DO CONTRATO POR 12 (DOZE) MESES.;;ART. 57, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES.;31/08/2012;29/08/2012;28/08/2013;175200,00
BRASILIA SEDE;49537;19863.000172/2012-01;ADESÃO A ATA DE REGISTRO DE PREÇOS COM PROCESSO DECISÓRIO;28712123000174 - MÓDULO SECURITY SOLUTIONS S/A;CURSO DE CAPACITAÇÃO EM SEGURANÇA DA INFORMAÇÃO.;28/08/2012;ART. 15, INCISO II, DA LEI 8.666/1993 E SUAS ALTERAÇÕES, C/C O ART. 8º, DO DECRETO 3.931/2001, COM A REDAÇÃO DADA PELO DECRETO 4.342/2002. ;31/08/2012;28/08/2012;27/02/2013;100000,00
RIO DE JANEIRO ANDARAÍ;49538;12023.000019/2008-32;ADITIVOS;01229958000111 - ATAC FIRE EXTINTORES COMERCIO E SERVIÇOS LTDA;REPACTUAR O VALOR DO CONTRATO.;;ART. 37, INCISO XXI DA CF/88 C/C ART. 40, INCISO XI, ART. 55, INCISO III E ART. 58, § 1º, DA LEI Nº 8.666/1993 E SUAS ALTERAÇÕES.;31/08/2012;28/08/2012;01/06/2013;2627,88
